Geneid	B03-6	B03-12	B03-16	A05-6	A05-12	A05-16	A07-6	A07-12	A07-16	B09-6	B09-12	B09-16
Glyma.01G001600	2.009	4.466	7.395	3.684	3.868	8.163	2.957	2.554	4.553	3.687	9.769	11.032
Glyma.01G002100	12.573	3.658	7.327	36.856	9.992	7.07	41.278	14.503	36.542	41.227	9.141	8.598
Glyma.01G002400	3.51	3.768	38.943	38.612	43.032	3.416	56.497	38.413	31.447	57.644	27.694	15.416
Glyma.01G002501	1.112	1.014	11.585	10.497	11.663	0.974	15.6	10.555	11.345	16.369	7.26	4.475
Glyma.01G002600	5.22	12.299	37.484	15.862	25.774	17.335	26.167	25.992	17.778	17.749	21.422	13.47
Glyma.01G003000	35.206	15.354	32.427	57.441	133.405	1.94	86.878	131.604	47.767	78.981	102.618	14.872
Glyma.01G003400	2.178	11.105	16.92	4.167	11.473	13.28	4.966	12.102	23.844	4.549	12.277	23.016
Glyma.01G003800	6.889	22.234	29.738	12.685	19.181	21.322	11.661	11.566	13.188	11.429	48.247	36.353
Glyma.01G004200	40.653	14.028	2.485	14.786	2.519	52.855	28.342	4.306	3.624	12.232	3.745	19.877
Glyma.01G004300	29.005	77.542	170.585	63.061	79.795	60.19	46.741	39.447	23.625	46.347	231.458	168.226
Glyma.01G004600	0.154	0.352	3.654	4.142	1.483	0.368	3.323	2.113	3.485	4.386	4.434	1.768
Glyma.01G004700	0.875	0.628	5.832	1.568	0.84	1.706	0.77	0.569	0.408	0.63	1.423	3.172
Glyma.01G005000	12.472	8.494	16.282	17.16	17.395	71.191	29.814	28.34	51.793	17.089	14.587	56.77
Glyma.01G005200	2.07	2.989	13.857	0.866	1.709	28.14	0.877	1.623	9.053	0.493	0.548	11.081
Glyma.01G006000	54.708	3.121	12.947	40.957	5.183	44.37	14.938	1.826	26.836	63.091	0.883	23.502
Glyma.01G006400	10.425	21.431	25.613	16.517	17.746	17.205	15.488	12.507	14.171	16.03	39.691	28.811
Glyma.01G006700	35.524	30.945	9.653	20.338	3.074	18.032	14.104	4.188	11.97	17.207	4.615	9.228
Glyma.01G006800	0.249	0.299	2.501	11.706	2.568	0.098	20.359	3.305	1.496	19.989	4.122	0.838
Glyma.01G007200	11.285	6.55	29.112	33.636	22.989	10.68	33.211	17.744	30.977	36.597	36.197	33.15
Glyma.01G007300	2.211	1.005	5.851	5.757	3.526	3.265	5.199	2.7	5.115	6.586	5.861	7.155
Glyma.01G007400	8.289	2.052	2.557	4.707	1.537	10.524	8.303	4.543	8.207	5.865	1.664	12.726
Glyma.01G007700	5.077	9.04	5.92	6.344	9.484	5.422	5.399	5.508	2.246	6.339	16.725	7.121
Glyma.01G007800	0.533	0.514	13.98	1.824	1.062	0.637	1.411	1.039	0.8	0.775	1.655	0.599
Glyma.01G008000	2.226	4.732	12.127	7.726	7.876	5.714	8.465	8.226	8.099	10.056	14.169	9.314
Glyma.01G008400	23.743	3.837	3.969	9.932	3.826	9.686	5.632	4.129	7.67	6.146	2.896	10.656
Glyma.01G008800	12.119	15.273	40.088	12.291	13.076	29.16	10.65	10.952	11.846	8.074	18.137	38.045
Glyma.01G009200	26.904	32.931	83.511	72.273	149.62	21.724	67.522	97.408	28.268	111.394	218.794	61.355
Glyma.01G009300	8.121	21.09	35.765	15.878	25.875	25.504	18.932	15.948	15.044	17.475	42.567	33.734
Glyma.01G009600	2.779	0.928	4.126	5.636	2.476	3.24	6.888	3.716	14.559	6.534	3.63	6.417
Glyma.01G009900	28.632	19.954	9.601	36.076	20.114	20.555	37.318	22.83	16.088	41.074	19.475	20.279
Glyma.01G010000	2.3	3.06	7.066	6.837	3.315	2.506	8.15	5.215	6.619	10.053	10.888	7.184
Glyma.01G010200	1723.652	1772.866	369.089	882.08	736.835	235.626	675.282	729.617	417.6	897.476	913.755	352.688
Glyma.01G010400	7.883	28.963	58.876	15.516	22.315	33.571	11.734	13.039	14.81	13.64	100.374	81.308
Glyma.01G010500	7.704	18.936	1.926	3.202	1.515	2.418	1.124	0.732	0.134	1.16	5.053	2.644
Glyma.01G011300	45.012	12.164	6.868	53.845	17.347	7.498	55.021	26.465	30.274	67.187	15.389	9.883
Glyma.01G011500	0.05	0.011	1.641	7.247	0.549	0.016	1.799	0.411	1.345	9.861	2.122	1.72
Glyma.01G011900	0.062	0.212	1.515	1.816	4.826	0.038	4.059	1.786	0.187	0.409	0.497	0.29
Glyma.01G012100	0.219	0	1.884	4.027	8.35	0.027	5.596	1.683	0.943	0.437	0.79	0.419
Glyma.01G013500	1.397	5.066	29.355	3.613	13.195	17.459	7.634	9.261	29.385	10.261	7.347	17.965
Glyma.01G013900	65.061	80.585	17.054	20.921	7.385	102.272	2.585	4.265	4.069	3.321	2.605	42.956
Glyma.01G014200	2.83	6.067	8.556	8.622	7.977	8.631	12.286	7.553	7.463	8.582	8.439	10.378
Glyma.01G014600	1.013	1.229	12.548	3.784	2.168	4.4	6.805	5.335	10.78	7.345	5.794	4.859
Glyma.01G014700	10.761	3.879	11.875	25.394	8.126	5.907	15.685	10.719	14.663	21.467	9.836	8.324
Glyma.01G015100	119.331	206.645	95.412	76.688	100.06	91.81	53.938	82.111	61.207	71.095	99.654	101.214
Glyma.01G016500	21.901	14.24	23.576	31.357	23.207	14.297	51.671	46.995	58.798	47.165	42.336	25.689
Glyma.01G016800	72.464	47.55	33.538	56.073	48.055	46.026	55.669	67.382	37.536	50.547	20.086	33.01
Glyma.01G017000	7.635	9.695	14.502	27.722	26.903	38.679	34.011	38.071	51.532	29.986	14.055	16.761
Glyma.01G017100	23.858	18.043	22.169	47.026	21.913	25.515	51.933	26.938	24.515	58.458	26.465	22.645
Glyma.01G017400	21.19	29.421	76.317	15.873	28.811	64.222	12.229	23.263	54.775	16.976	44.549	97.333
Glyma.01G017700	65.035	68.611	7.691	61.504	34.421	43.035	38.721	40.982	12.009	35.139	17.642	57.67
Glyma.01G018800	16.289	10.792	2.625	9.011	3.803	5.187	6.745	5.767	4.656	11.179	3.03	5.059
Glyma.01G019200	2.081	5.232	5.912	1.818	5.661	5.342	1.826	6.79	7.845	2.498	7.378	7.702
